"recipientID","recipientName","fullName","valueAmount","year","wide_cat","wide_cat_full","usageStatus","date","type","sort"
"24621652","ДНЗ №8","Тернопільський дошкільний навчальний заклад №8",11.98,"2020","Продукти харчування","Продукти харчування, напої, тютюн та супутня продукція","Використано","2020-06-19","ДНЗ","8"
"21150710","Спеціалізована загальноосвітня школа І ступеня повного дня","Тернопільська спеціалізована ЗОШ І ст. повного дня",791,"2019","Меблі, інтер'єр та побутова техніка","Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення","Використовується","2019-11-01","Школи та інше","1000"
"24620032","ДНЗ №14","Тернопільський дошкільний навчальний заклад №14",30,"2020","Медичне обладнання та ліки","Медичне обладнання, фармацевтична продукція та засоби особистої гігієни","Використано","2020-01-10","ДНЗ","14"
"24620032","ДНЗ №14","Тернопільський дошкільний навчальний заклад №14",9.8,"2020","Електротехнічне устаткування","Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування","Використано","2020-01-10","ДНЗ","14"
"24620032","ДНЗ №14","Тернопільський дошкільний навчальний заклад №14",3008,"2019","Меблі, інтер'єр та побутова техніка","Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення","Використано","2019-04-25","ДНЗ","14"
"24620368","ДНЗ №18","Тернопільський дошкільний навчальний заклад №18",266785,"2019","Меблі, інтер'єр та побутова техніка","Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення","Використовується","2019-10-04","ДНЗ","18"
"24620032","ДНЗ №14","Тернопільський дошкільний навчальний заклад №14",12,"2019","Шкіряні та текстильні матеріали","Шкіряні та текстильні, пластмасові та гумові матеріали","Використано","2019-04-25","ДНЗ","14"
"3072170","Тернопільський центр професійно-технічної освіти","Державний навчальний заклад ""Тернопільський центр професійно-технічної освіти""",300,"2019","Офісна та комп’ютерна техніка","Офісна та комп’ютерна техніка, устаткування та приладдя, крім меблів та пакетів програмного забезпечення","Використовується","2019-05-03","Школи та інше","1000"
"39964974","Школа № 13 імені Андрія Юркевича","Тернопільська загальноосвітня школа І-ІІІ ступенів № 13 імені Андрія Юркевича",1408.9,"2019","Музичні інструменти, спортивні товари, ігри, іграшки, ремісничі, художні матеріали та приладдя","Музичні інструменти, спортивні товари, ігри, іграшки, ремісничі, художні матеріали та приладдя","Використовується","2019-08-10","Школи та інше","13"
"3072170","Тернопільський центр професійно-технічної освіти","Державний навчальний заклад ""Тернопільський центр професійно-технічної освіти""",217,"2019","Меблі, інтер'єр та побутова техніка","Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення","Використовується","2019-05-03","Школи та інше","1000"
"3072170","Тернопільський центр професійно-технічної освіти","Державний навчальний заклад ""Тернопільський центр професійно-технічної освіти""",347,"2019","Хімічна продукція","Хімічна продукція","Використовується","2019-01-03","Школи та інше","1000"
"21150710","Спеціалізована загальноосвітня школа І ступеня повного дня","Тернопільська спеціалізована ЗОШ І ст. повного дня",68221.4,"2019","Меблі, інтер'єр та побутова техніка","Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення","Використовується","2019-08-12","Школи та інше","1000"
"24620084","ДНЗ №33","Тернопільський дошкільний навчальний заклад № 33",320,"2019","Меблі, інтер'єр та побутова техніка","Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення","Використовується","2019-11-05","ДНЗ","33"
"24620167","ДНЗ №1","Тернопільський дошкільний навчальний заклад №1",7330,"2020","Меблі, інтер'єр та побутова техніка","Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення","Використовується","2020-03-03","ДНЗ","1"
"3072170","Тернопільський центр професійно-технічної освіти","Державний навчальний заклад ""Тернопільський центр професійно-технічної освіти""",1222.32,"2019","Будівельні матеріали","Конструкції та конструкційні матеріали; допоміжна будівельна продукція (крім електроапаратури)","Використовується","2019-01-03","Школи та інше","1000"
"3072170","Тернопільський центр професійно-технічної освіти","Державний навчальний заклад ""Тернопільський центр професійно-технічної освіти""",2523.08,"2019","Будівельні матеріали","Конструкції та конструкційні матеріали; допоміжна будівельна продукція (крім електроапаратури)","Використовується","2019-05-03","Школи та інше","1000"
"24620032","ДНЗ №14","Тернопільський дошкільний навчальний заклад №14",25,"2019","Медичне обладнання та ліки","Медичне обладнання, фармацевтична продукція та засоби особистої гігієни","Використано","2019-04-25","ДНЗ","14"
"24618791","ДНЗ №26","Тернопільський дошкільний навчальний заклад №26",25,"2019","Шкіряні та текстильні матеріали","Шкіряні та текстильні, пластмасові та гумові матеріали","Використовується","2019-11-11","ДНЗ","26"
"3072170","Тернопільський центр професійно-технічної освіти","Державний навчальний заклад ""Тернопільський центр професійно-технічної освіти""",7417.6,"2019","Меблі, інтер'єр та побутова техніка","Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення","Використовується","2019-11-15","Школи та інше","1000"
"24620032","ДНЗ №14","Тернопільський дошкільний навчальний заклад №14",27.2,"2020","Меблі, інтер'єр та побутова техніка","Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення","Використано","2020-01-10","ДНЗ","14"
"14039968","Школа №20","Тернопільська загальноосвітня школа І-ІІІ ступенів № 20 Тернопільської міської ради",28.87,"2019","Друкована продукція","Друкована та супутня продукція","Використовується","2019-12-01","Школи та інше","20"
"24620049","ДНЗ №2","тернопільський дошкільний навчальний заклад №2",430,"2019","Меблі, інтер'єр та побутова техніка","Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення","Використовується","2019-01-04","ДНЗ","2"
"24620055","ТНВК №28","Тернопільський навчально-виховний комплекс № 28",450,"2019","Меблі, інтер'єр та побутова техніка","Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення","Використовується","2019-11-01","ДНЗ","28"
"3072170","Тернопільський центр професійно-технічної освіти","Державний навчальний заклад ""Тернопільський центр професійно-технічної освіти""",3190,"2020","Одяг, взуття, сумки та аксесуари","Одяг, взуття, сумки та аксесуари","використовується","2020-04-22","Школи та інше","1000"
"24621652","ДНЗ №8","Тернопільський дошкільний навчальний заклад №8",114.75,"2019","Медичне обладнання та ліки","Медичне обладнання, фармацевтична продукція та засоби особистої гігієни","Використано","2019-08-13","ДНЗ","8"
"3072170","Тернопільський центр професійно-технічної освіти","Державний навчальний заклад ""Тернопільський центр професійно-технічної освіти""",33,"2019","Гірнича продукція","Гірнича продукція, неблагородні метали та супутня продукція","Використовується","2019-01-03","Школи та інше","1000"
"14040606","Тернопільська спеціальна загальноосвітня школа","Тернопільська спеціальна загальноосвітня школа Тернопільської міської ради для дітей, які потребують корекції розумового розвитку",10600,"2019","Теле-радіо апаратура","Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання","Використовується","2019-01-02","Школи та інше","1000"
"3072170","Тернопільський центр професійно-технічної освіти","Державний навчальний заклад ""Тернопільський центр професійно-технічної освіти""",35,"2019","Лабораторне обладнання","Лабораторне, оптичне та високоточне обладнання (крім лінз)","Використовується","2019-05-03","Школи та інше","1000"
"3072170","Тернопільський центр професійно-технічної освіти","Державний навчальний заклад ""Тернопільський центр професійно-технічної освіти""",975.61,"2019","Лабораторне обладнання","Лабораторне, оптичне та високоточне обладнання (крім лінз)","Використовується","2019-11-15","Школи та інше","1000"
"3072170","Тернопільський центр професійно-технічної освіти","Державний навчальний заклад ""Тернопільський центр професійно-технічної освіти""",16748.99,"2019","Меблі, інтер'єр та побутова техніка","Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення","Використовується","2019-07-05","Школи та інше","1000"
"1276023","ДНЗ №37","Тернопільський дошкільний навчальний заклад №37",409,"2020","Меблі, інтер'єр та побутова техніка","Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення","Використовується","2020-07-14","ДНЗ","37"
"24620368","ДНЗ №18","Тернопільський дошкільний навчальний заклад №18",11010,"2019","Музичні інструменти, спортивні товари, ігри, іграшки, ремісничі, художні матеріали та приладдя","Музичні інструменти, спортивні товари, ігри, іграшки, ремісничі, художні матеріали та приладдя","Використовується","2019-10-04","ДНЗ","18"
"24620055","ТНВК №28","Тернопільський навчально-виховний комплекс № 28",750,"2019","Музичні інструменти, спортивні товари, ігри, іграшки, ремісничі, художні матеріали та приладдя","Музичні інструменти, спортивні товари, ігри, іграшки, ремісничі, художні матеріали та приладдя","Використовується","2019-11-01","ДНЗ","28"
"14039951","Школа №26","Тернопільська загальноосвітня школа І-ІІІ ст. № 26",13980,"2020","Медичне обладнання та ліки","Медичне обладнання, фармацевтична продукція та засоби особистої гігієни","використано","2020-06-12","Школи та інше","26"
"3072170","Тернопільський центр професійно-технічної освіти","Державний навчальний заклад ""Тернопільський центр професійно-технічної освіти""",2900.4,"2019","Сільськогосподарська продукція","Сільськогосподарська, фермерська продукція, продукція рибальства, лісівництва та супутня продукція","Використано","2019-02-01","Школи та інше","1000"
